59.057	48.368
41.776	48.466
65.796	49.144
35.571	49.601
48.647	50.126
55.356	50.628
39.671	52.006
62.087	52.302
45.795	53.073
52.536	53.442
58.159	54.961
37.159	55.502
43.143	55.547
65.973	56.166
49.745	57.482
55.967	58.069
62.382	59.004
46.194	59.278
40.328	59.512
53.077	60.564
59.356	62.208
35.878	62.328
66.237	62.63
42.931	62.639
49.218	63.125
55.553	64.887
63.138	66.431
45.654	67.016
39.193	67.136
52.075	67.275
58.386	69.196
65.152	70.805
48.676	71.225
42.047	71.633
36.061	71.783
55.707	72.875
63.26	75.144
44.611	75.433
51.581	75.97
38.859	76.518
58.86	76.805
66.63	78.046
55.081	79.783
47.545	80.104
41.825	80.449
61.967	81.397
